"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43063173716314","3.14372284739968","3.05180280791049","2.55914232140567","2.83349218235943","4.59399155745754","4.16244962853703","4.47290064331787","4.86883826239454","4.39080941836232","4.05182755475308","4.25158265084434","4.76791761538926","5.58875541559526","",
"Belize","BLZ","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00849872249032101","0","0","0","0","0","8.17033581469156E-05","0.0665460206063414","0","0.938240933761362","0.191639909392131","0.000181554452131674",
"Bermuda","BMU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3484645513676","12.6000042320837","28.6041247114545","27.1615560732563","48.7853656585815","21.7890121439319","17.0559413120716","6.94052678775144","5.48239418215182","8.07436049658355","12.5364721070005",
"Bolivia","BOL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63205147686391","4.35786303515815","4.86663956832303","8.39643426654084","13.2668526999964","9.22349652906557","9.36490977549173","8.0579025832244","6.40259447870096","4.45996628515408","5.87150676063352","5.04855572806383","3.45205028026195","4.32521785105525","4.54888314317125","5.51765426861123",
"Brazil","BRA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6091997508653","12.7577247617512","14.7582206485491","12.5894529026096","11.1404999922466","11.8872133264759","11.9697168242237","12.3710552617293","14.485714883982","15.999958400192","14.3117190041583","14.7439120323979","14.0664586517771","11.3500476471567","9.00153466515671","9.04578247691606",
"Barbados","BRB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6919130412289","20.3038221331687","17.1559663528192","17.0117402095809",
"Brunei Darussalam","BRN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1303339214953","27.0264366284939","20.8703563654438","13.7923392215239","16.2873494784022","8.56011236822409","19.0887074426886","13.5766744202278","29.8490091403255","0.04242971199202","8.09359092998867","1.3389571330315","1.35935651232841","1.04423785364427",
"Bhutan","BTN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7514397285943","0.126757285150394","0.215969979129734","0.137310610162976","8.75610659565705E-05","0.0230326501174942","","","","","","","","","","",
"Botswana","BWA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.387929655267001","0.245708138002996","0.688778299762784","0.420664199552312","0.955633273079018","0.610436318130109","0.364960099971669","0.405596186223436","0.330580201987883","0.499673381486501",
"Central African Republic","CAF","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6292713819246","0.0325346246358526","1.41330699942136","0.289135277016258","","5.26842789146861","11.77186175421","22.0763616198396","29.0193180633593","95.6179350728442","0.67083835551212","7.66912447024762","37.2974046773952",
"Canada","CAN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7662901686121","15.1806044782674","17.8697671747598","15.499592108572","14.7112977474608","15.6152845157552","15.4918423383053","14.6652465341592","14.8280476590736","14.0988772228519","14.3483562041087","15.421878947262","16.10018141023","15.3341541348578","15.0470586350827","13.6696656141553",
"Central Europe and the Baltics","CEB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9240082950057","11.3316844911334","12.9290465852831","13.2541057462047","12.9546217847279","12.6263067035719","12.4636202673193","12.6177034766098","13.1369509392956","13.1087611586921","12.970925052124","13.1331329843249","13.1602553933415","13.7459408690782","12.702408837838","13.4314616059765",
"Switzerland","CHE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6341836598569","24.7025096547349","26.3801999474245","25.8077943754388","25.2726061664072","26.0575843882691","26.7499612839226","26.6576145567795","27.0506497570839","27.3348969518885","14.0234293272484","13.3174671835352","12.9085440929224","12.8440544330799","14.2340195109615","28.8408410835182",
"Channel Islands","CHI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8218703090794","6.55897883903695","6.60527532521949","6.23892525300264","5.12051860087696","5.43613634434484","6.69190367395774","7.08887292074942","6.71371156201804","8.42102263237134","7.09873836832882","6.9108229455209","7.63271462272043","15.9750163406527","12.4417346556093","6.5153174473164",
"China","CHN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1508023319562","29.3636567240237","31.9377905496789","32.1236545637555","30.4839309337386","30.8486831710094","31.5743629654427","29.6954148919299","30.4219454271799","30.2426414089164","30.9072386248438","31.5450983818224","30.817204339562","31.2755857286816","29.9578149531835","23.1186745070884",
"Cote d'Ivoire","CIV","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3776972435618","12.474066589121","4.24780391202094","16.6930088205768","8.97049962615032","4.35924224762924","11.3886788789026","7.20971371873819","8.59060428856909","7.01551162194887","6.55993218519416","11.2315188507649","5.11291207193899","3.86336652166101","3.55562672599245",
"Cameroon","CMR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20273640500554","6.84062106151953","4.85691636657362","5.61841773540935","6.01740478991645","7.02526318120575","5.11907584621214","3.08382242415572","2.15123166966613","",
"Congo, Dem. Rep.","COD","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.60446689909612","0.310225164953757","0.184292885577842","0.246252589446654","0.782215715734939","0.510113744529808","0.0779607931802417","0.723158681595087",
"Congo, Rep.","COG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09069123400357","0.925919620783447","1.15950410511852","2.00657411112222","2.52380807213673","6.34219090814178","4.54987327780387","6.53711247460385","",
"Colombia","COL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.06526381623608","4.01539209090487","5.55422596545158","5.36253459586992","4.67963034404329","5.6774289147471","7.76843662275665","8.11973751224566","9.84934563232937","10.1857850975507","8.96234815291122","7.22137143140895","9.04842024018423","9.91352104009289","8.20893852471326","8.37821815596876",
"Comoros","COM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12626127048387","3.2217104503447","0.230530375770608","27.3684558656778","0.172287407539807","3.03044600733887","0.574929085819981","0.205122142169388","",
"Cabo Verde","CPV","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.601739056773956","0","","0.00295369278971465","","","","9.64098963151736E-05","","0.760204522523159","","0.23993393163752",
"Costa Rica","CRI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4447177041603","39.5732953130986","44.2601280275938","40.1472572396989","40.9970110475894","39.7896518634067","43.4413866957482","36.5060999488209","16.9840036267094","18.4422129021029","18.4952043292543","18.4668701932621","17.5649065164984","15.6819531058843","16.9669966304659","20.4289978747791",
"Caribbean small states","CSS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09045060747979","3.49862514796423","1.08804329844024","1.68786144629821","1.84374144463962","0.413536857697524","2.71854828710399","5.47337919349181","4.53384716319777","4.00458193812708","7.46882676831738","","3.64443990625888",
"Cuba","CUB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.9869233030848","20.9945271764724","11.4588902922055","","","","",
"Curacao","CUW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5994676364372","67.7653287442778","",
"Cyprus","CYP","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2956571710024","32.0172372189529","32.5294256093404","38.2015203417596","30.3585430090043","16.5914973785729","13.0833984575068","14.5282633236727","12.7108239034115","13.3285149968646","13.3499611387371","19.8567940881369","19.874215891301","12.2448277312995","15.9690028600969","17.5897868601402",
